val,City name,City name (CDP),City name (carbonn),City name (PKU),City name (GEA),City name (UITP),City name (WB),Definition (CDP),Definition (carbonn),Definition (WB),Study year (WB),Reporting year (CDP),Scope-1 GHG emissions [tCO2 or tCO2-eq],Scope-1 source dataset,Scope-1 GHG emissions units,Year of emission,Latitude (others) [degrees],Longitude (others) [degrees],Country,Region,Population (CDP),Population year (CDP),Population (others),Population year (others)
201,Nantes,,Urban Community of Nantes Métropole,,,Nantes,,,Intercommunality,,,,2076210,carbonn,tCO2-eq,2003,47.2181,-1.5528,France,Europe,,,612782,2013
202,Nashville and Davidson,Metropolitan Government of Nashville and Davidson County,,,,,,Administrative boundary of a local government,,,,2017,6680194,CDP,tCO2-eq,2014,36.155,-86.761944,USA,North America,678889,2015,660388,2016
203,Nelson Mandela,,Nelson Mandela Bay Metropolitan Municipality,,Nelson Mandela ,,,,Independent municipality,,,,4986052,carbonn,tCO2-eq,2012,-33,25,South Africa,Africa,,,1152115,2011
204,New Orleans,City of New Orleans,,,,,,A metropolitan area,,,,2016,2419891,CDP,tCO2-eq,2014,29.95,-90.066667,USA,North America,389617,2015,391495,2016
205,New Taipei,New Taipei City Government,,,,,,Administrative boundary of a local government,,,,2016,6149934,CDP,tCO2-eq,2014,25.011,121.445833,Taiwan,East Asia,3966818,2014,3972204,2016
206,New York City,New York City,,,New York,New York,New York City ,Administrative boundary of a local government,,City ,2005,2017,38962264,CDP,tCO2-eq,2015,40.713,-74.0059,USA,North America,8537673,2016,8537673,2016
207,Nice,Métropole Nice Côte d'Azur,,,,,,A metropolitan area,,,,2016,,CDP,tCO2-eq,2010,43.703,7.2663,France,Europe,550000,2015,544977,2014
208,Ningbo,,,Ningbo,Ningbo,,,,,,,,6563188.42724,PKU,tCO2,2010,29.8666666667,121.55,China,East Asia,,,3491597,
209,North Vancouver,City of North Vancouver,,,,,,Administrative boundary of a local government,,,,2017,182896,CDP,tCO2-eq,2015,49.317,-123.066667,Canada,North America,52898,2016,52898,2016
210,Oakland,City of Oakland,,,,,,Administrative boundary of a local government,,,,2017,956414,CDP,tCO2-eq,2015,37.804,-122.270833,USA,North America,419000,2015,420005,2016
