val,City name,City name (CDP),City name (carbonn),City name (PKU),City name (GEA),City name (UITP),City name (WB),Definition (CDP),Definition (carbonn),Definition (WB),Study year (WB),Reporting year (CDP),Scope-1 GHG emissions [tCO2 or tCO2-eq],Scope-1 source dataset,Scope-1 GHG emissions units,Year of emission,Latitude (others) [degrees],Longitude (others) [degrees],Country,Region,Population (CDP),Population year (CDP),Population (others),Population year (others)
309,Warsaw,City of Warsaw,,,,,,Administrative boundary of a local government,,,,2016,7930452,CDP,tCO2,2014,52.233,21.016667,Poland,Europe,1626514,2016,1730000,2016
310,Weifang,,,Weifang,,,,,,,,,4319059.23072,PKU,tCO2,2010,36.7166666667,119.1,China,East Asia,,,2044028,
311,Wellington,Wellington City Council,,,,Wellington,,Administrative boundary of a local government,,,,2017,621179,CDP,tCO2-eq,2014,-41.289,174.777222,New Zealand,Oceania,209102,2017,207870,2016
312,West Hollywood,City of West Hollywood,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2008,34.088,-118.372222,USA,North America,34399,2010,36698,2016
313,Windhoek,,City of Windhoek,,,,,,Municipality,,,,2829997,carbonn,tCO2-eq,2016,-22.5609,17.065755,Namibia,Africa,,,325858,2011
314,"Windsor, ON",City of Windsor,,,,,,Administrative boundary of a local government,,,,2016,2475703,CDP,tCO2-eq,2014,42.283,-83,Canada,North America,210891,2011,217188,2016
315,Winnipeg,City of Winnipeg,,,,,,Administrative boundary of a local government,,,,2016,5167453,CDP,tCO2-eq,1998,49.899,-97.139167,Canada,North America,718400,2015,705244,2016
316,Wonju,,Wonju City,,,,,,Municipality,,,,1928493,carbonn,tCO2-eq,2012,37.3422186,127.9201621,South Korea,East Asia,,,310854,2010
317,Wuhan,,,Wuhan,Wuhan,,,,,,,,7164450.65,PKU,tCO2,2010,30.5833333333,114.283333333,China,East Asia,,,10607700,
318,Wuxi,,,Wuxi,,,,,,,,,6571992.2469,PKU,tCO2,2010,31.5666666667,120.3,China,East Asia,,,3542319,
319,"Xi'an, Shaanxi",,,Xi'an,"Xi'an, Shaanxi",,,,,,,,9582034.56,PKU,tCO2,2010,34.2666666667,108.9,China,East Asia,,,8705600,2015
320,Xiamen,,,Xiamen,Xiamen,,,,,,,,3275065.5,PKU,tCO2,2010,24.4798361111,118.089419444,China,East Asia,,,3531347,2010
321,Xiangtan,,,Xiangtan,,,,,,,,,597950.862753,PKU,tCO2,2010,27.85,112.9,China,East Asia,,,684600,
322,Xiangyang,,,Xiangyang,,,,,,,,,1903957.45224,PKU,tCO2,2010,32.017,112.133,China,East Asia,,,2199689,
323,Xining,,,Xining,Xining,,,,,,,,807454.483523,PKU,tCO2,2010,36.6333333333,101.766666667,China,East Asia,,,1198304,
324,Xinxiang,,,Xinxiang,,,,,,,,,617978.935245,PKU,tCO2,2010,35.3,113.866666667,China,East Asia,,,1047020,
325,Xuzhou,,,Xuzhou,,,,,,,,,5618198.844,PKU,tCO2,2010,34.2666666667,117.216666667,China,East Asia,,,3053778,
326,Yantai,,,Yantai,,,,,,,,,4531203.03283,PKU,tCO2,2010,37.535,121.389166667,China,East Asia,,,2227733,
327,Yilan,Yilan County,,,,,,Administrative boundary of a local government,,,,2016,6911264.55,CDP,tCO2-eq,2013,24.751,121.759167,Taiwan,East Asia,458777,2014,458777,2014
328,Yinchuan,,,Yinchuan,Yinchuan,,,,,,,,2039692.10453,PKU,tCO2,2010,38.4666666667,106.266666667,China,East Asia,,,1290170,
329,Yokohama,City of Yokohama,,,,,,Administrative boundary of a local government,,,,2016,12572000,CDP,tCO2-eq,2013,35.444,139.638056,Japan,East Asia,3719589,2015,3579628,2016
330,Yonkers,City of Yonkers,,,,,,Administrative boundary of a local government,,,,2016,982940,CDP,tCO2,2010,40.941,-73.864444,USA,North America,199766,2013,200807,2016
331,Zaragoza,City of Zaragoza,,,,,,Administrative boundary of a local government,,,,2016,1175162.74,CDP,tCO2,2014,41.65,-0.883333,Spain,Europe,661108,2015,661108,2016
332,Zhangjiakou,,,Zhangjiakou,,,,,,,,,1191132.57013,PKU,tCO2,2010,40.7666666667,114.883333333,China,East Asia,,,4345485,2010
333,Zhanjiang,,,Zhanjiang,,,,,,,,,1770360.6,PKU,tCO2,2010,21.2,110.4,China,East Asia,,,1611868,
334,Zhaozhuang,,,Zhaozhuang,,,,,,,,,1607492.69021,PKU,tCO2,2010,34.8666666667,117.55,China,East Asia,,,2125481,
335,Zhengzhou,,,Zhengzhou,Zhengzhou,,,,,,,,7303971.18524,PKU,tCO2,2010,34.7666666667,113.65,China,East Asia,,,6406000,
336,Zhuzhou,,,Zhuzhou,,,,,,,,,1132880.32,PKU,tCO2,2010,27.85,113.133333333,China,East Asia,,,2416000,
337,Zibo,,,Zibo,,,,,,,,,3425477.28048,PKU,tCO2,2010,36.7833333333,118.05,China,East Asia,,,3129228,
338,Zürich,Stadt Zürich,,,Zurich,Zurich,,Administrative boundary of a local government,,,,2016,,CDP,tCO2-eq,2014,47.367,8.55,Switzerland,Europe,404783,2014,401144,2016
339,eThekwini,,eThekwini Metropolitan Municipality,,eThekwini ,,,,Independent municipality,,,,22118090,carbonn,tCO2-eq,2015,-29.8587,31.02184,South Africa,Africa,,,3442361,2011
340,Águeda,Município de Águeda,,,,,,0,,,,2016,,CDP,tCO2-eq,2013,40.574,-8.448056,Portugal,Europe,47729,2011,47729,2011
341,Örebro,,Örebro Municipality,,Örebro,,,,Municipality,,,,470149,carbonn,tCO2-eq,2015,59.2667,15.2167,Sweden,Europe,,,147423,2017
342,Ürümqi (Wulumqi),,,Wulumuqi,Ürümqi (Wulumqi),,,,,,,,5489128.31649,PKU,tCO2,2010,43.825,87.6,China,East Asia,,,3519600,2017
